# dataset=strongs/surfaces; lang=por; source=clear-alignments (github.com/Clear-Bible/Alignments); base_text=JFA11; license=see resources/strongs/README.md; date=2026-06-20
strong	lemma	surface	count	share	methods	review
G1014	βούλομαι	a	1	0.000	transfer	machine
G0249	ἄλογος	a	1	0.000	transfer	machine
G5119	τότε	a	1	0.000	transfer	machine
G5196	ὕβρις	a	1	0.000	transfer	machine
G4328	προσδοκάω	a	1	0.000	transfer	machine
G1345	δικαίωμα	a	1	0.000	transfer	machine
G4100	πιστεύω	a	1	0.000	transfer	machine
G0203	ἀκροβυστία	a	1	0.000	transfer	machine
G2071	εἰμί	a	1	0.000	transfer	machine
G1520	εἷς	a	1	0.000	transfer	machine
G0599	ἀποθνῄσκω	a	1	0.000	transfer	machine
G5037	τέ	a	1	0.000	transfer	machine
G5206	υἱοθεσία	a	1	0.000	transfer	machine
G4483	ῥέω	a	1	0.000	transfer	machine
G3709	ὀργή	a	1	0.000	transfer	machine
G2609	κατάγω	a	1	0.000	transfer	machine
G1451	ἐγγύς	a	1	0.000	transfer	machine
G4750	στόμα	a	1	0.000	transfer	machine
G3900	παράπτωμα	a	1	0.000	transfer	machine
G0580	ἀποβολή	a	1	0.000	transfer	machine
G2821	κλῆσις	a	1	0.000	transfer	machine
G3307	μερίζω	a	1	0.000	transfer	machine
G1313	διάφορος	a	1	0.000	transfer	machine
G5101	τίς	a	1	0.000	transfer	machine
G3129	μανθάνω	a	1	0.000	transfer	machine
G4067	περίψημα	a	1	0.000	transfer	machine
G3123	μᾶλλον	a	1	0.000	transfer	machine
G1108	γνῶσις	a	1	0.000	transfer	machine
G3780	οὐχί	a	1	0.000	transfer	machine
G1223	διά	a	1	0.000	transfer	machine
G0281	ἀμήν	a	1	0.000	transfer	machine
G0571	ἄπιστος	a	1	0.000	transfer	machine
G0686	ἄρα	a	1	0.000	transfer	machine
G2793	κινδυνεύω	a	1	0.000	transfer	machine
G2745	καύχημα	a	1	0.000	transfer	machine
G3765	οὐκέτι	a	1	0.000	transfer	machine
G3614	οἰκία	a	1	0.000	transfer	machine
G0042	ἁγιωσύνη	a	1	0.000	transfer	machine
G2746	καύχησις	a	1	0.000	transfer	machine
G3952	παρουσία	a	1	0.000	transfer	machine
G1921	ἐπιγινώσκω	a	1	0.000	transfer	machine
G0700	ἀρέσκω	a	1	0.000	transfer	machine
G5483	χαρίζομαι	a	1	0.000	transfer	machine
G2227	ζῳοποιέω	a	1	0.000	transfer	machine
G1939	ἐπιθυμία	a	1	0.000	transfer	machine
G5125	οὗτος	a	1	0.000	transfer	machine
G5303	ὑστέρημα	a	1	0.000	transfer	machine
G4409	πρωτεύω	a	1	0.000	transfer	machine
G2556	κακός	a	1	0.000	transfer	machine
G0467	ἀνταποδίδωμι	a	1	0.000	transfer	machine
G2296	θαυμάζω	a	1	0.000	transfer	machine
G5318	φανερός	a	1	0.000	transfer	machine
G2151	εὐσεβέω	a	1	0.000	transfer	machine
G4022	περιέρχομαι	a	1	0.000	transfer	machine
G0454	ἄνοια	a	1	0.000	transfer	machine
G0606	ἀπόκειμαι	a	1	0.000	transfer	machine
G2540	καιρός	a	1	0.000	transfer	machine
G0435	ἀνήρ	a	1	0.000	transfer	machine
G4993	σωφρονέω	a	1	0.000	transfer	machine
G5293	ὑποτάσσω	a	1	0.000	transfer	machine
G4105	πλανάω	a	1	0.000	transfer	machine
G4291	προΐστημι	a	1	0.000	transfer	machine
G2070	εἰμί	a	1	0.000	transfer	machine
G3335	μεταλαμβάνω	a	1	0.000	transfer	machine
G2902	κρατέω	a	1	0.000	transfer	machine
G2774	κεφάλαιον	a	1	0.000	transfer	machine
G1242	διαθήκη	a	1	0.000	transfer	machine
G4700	σποδός	a	1	0.000	transfer	machine
G1650	ἐλεγμός	a	1	0.000	transfer	machine
G0152	αἰσχύνη	a	1	0.000	transfer	machine
G3809	παιδεία	a	1	0.000	transfer	machine
G1352	διό	a	1	0.000	transfer	machine
G5485	χάρις	a	1	0.000	transfer	machine
G4137	πληρόω	a	1	0.000	transfer	machine
G4771	σύ	a	1	0.000	transfer	machine
G1383	δοκίμιον	a	1	0.000	transfer	machine
G1085	γένος	a	1	0.000	transfer	machine
G2129	εὐλογία	a	1	0.000	transfer	machine
G2030	ἐπόπτης	a	1	0.000	transfer	machine
G5083	τηρέω	a	1	0.000	transfer	machine
G2251	ἡμέτερος	a	1	0.000	transfer	machine
G0765	ἀσεβής	a	1	0.000	transfer	machine
G3392	μιαίνω	a	1	0.000	transfer	machine
G0114	ἀθετέω	a	1	0.000	transfer	machine
G2714	κατενώπιον	a	1	0.000	transfer	machine
G5474	χαλκολίβανον	a	1	0.000	transfer	machine
G3144	μάρτυρος	a	1	0.000	transfer	machine
G2925	κρούω	a	1	0.000	transfer	machine
G0059	ἀγοράζω	a	1	0.000	transfer	machine
G4637	σκηνόω	a	1	0.000	transfer	machine
G2342	θηρίον	a	1	0.000	transfer	machine
G0941	βαστάζω	a	1	0.000	transfer	machine
G2521	κάθημαι	a	1	0.000	transfer	machine
G1715	ἔμπροσθεν	a	1	0.000	transfer	machine
G0975	βιβλίον	a	1	0.000	transfer	machine
G0002	Ἀαρών	aarão	4	1.000	transfer	machine
G2827	κλίνω	abaixando	1	1.000	transfer	machine
G3879	παρακύπτω	abaixando-se	2	0.667	transfer	machine
G2524	καθίημι	abaixando-se	1	0.333	transfer	machine
G2736	κάτω	abaixo	2	0.667	transfer	machine
G2521	κάθημαι	abaixo	1	0.333	transfer	machine
G3879	παρακύπτω	abaixou-se	1	1.000	transfer	machine
G4531	σαλεύω	abaladas	3	1.000	transfer	machine
G2480	ἰσχύω	abalar	1	1.000	transfer	machine
G3860	παραδίδωμι	abandonou	2	1.000	transfer	machine
G0086	ᾍδης	abatida	1	1.000	transfer	machine
G2598	καταβάλλω	abatidos	1	0.500	transfer	machine
G5011	ταπεινός	abatidos	1	0.500	transfer	machine
G5014	ταπείνωσις	abatimento	1	1.000	transfer	machine
G0005	ἀββά	abba	3	1.000	transfer	machine
G0006	Ἂβελ	abel	3	1.000	transfer	machine
G2127	εὐλογέω	abençoado	1	1.000	transfer	machine
G2127	εὐλογέω	abençoae	2	1.000	transfer	machine
G2806	κλάω	abençoando-o	1	1.000	transfer	machine
G1722	ἐν	abençoando-os	1	1.000	transfer	machine
G4571	σύ	abençoando-te	1	1.000	transfer	machine
G2127	εὐλογέω	abençoarei	1	1.000	transfer	machine
G2127	εὐλογέω	abençoasse	1	1.000	transfer	machine
G2127	εὐλογέω	abençoou	9	0.818	transfer	machine
G0846	αὐτός	abençoou	1	0.091	transfer	machine
G3588	ὁ	abençoou	1	0.091	transfer	machine
G2127	εὐλογέω	abençoou-os	1	1.000	transfer	machine
G0455	ἀνοίγω	aberta	2	1.000	transfer	machine
G3954	παρρησία	abertamente	4	0.800	transfer	machine
G2036	λέγω	abertamente	1	0.200	transfer	machine
G0455	ἀνοίγω	abertas	1	1.000	transfer	machine
G0455	ἀνοίγω	aberto	8	1.000	transfer	machine
G0455	ἀνοίγω	abertos	1	0.500	transfer	machine
G1272	διανοίγω	abertos	1	0.500	transfer	machine
G0007	Ἀβιά	abia	2	1.000	transfer	machine
G0007	Ἀβιά	abias	1	1.000	transfer	machine
G0008	Ἀβιαθάρ	abiathar	1	1.000	transfer	machine
G0010	Ἀβιούδ	abiud	2	1.000	transfer	machine
G0909	βαπτισμός	abluções	1	1.000	transfer	machine
G2673	καταργέω	abolido	1	1.000	transfer	machine
G2673	καταργέω	abolir	1	1.000	transfer	machine
G3588	ὁ	aboliu	1	1.000	transfer	machine
G0948	βδελύσσομαι	abominas	1	1.000	transfer	machine
G0113	ἄθεσμος	abominaveis	2	0.500	transfer	machine
G0947	βδελυκτός	abominaveis	1	0.250	transfer	machine
G0948	βδελύσσομαι	abominaveis	1	0.250	transfer	machine
G0946	βδέλυγμα	abominação	4	1.000	transfer	machine
G0152	αἰσχύνη	abominações	1	0.500	transfer	machine
G0946	βδέλυγμα	abominações	1	0.500	transfer	machine
G3404	μισέω	aborrece	11	1.000	transfer	machine
G0655	ἀποστυγέω	aborrecei	1	1.000	transfer	machine
G3404	μισέω	aborrecem	2	1.000	transfer	machine
G3404	μισέω	aborrecendo	1	1.000	transfer	machine
G3404	μισέω	aborrecer	1	1.000	transfer	machine
G3404	μισέω	aborreceram-me	1	1.000	transfer	machine
G3404	μισέω	aborrecerás	1	1.000	transfer	machine
G3404	μισέω	aborrecerão	2	1.000	transfer	machine
G3404	μισέω	aborreces	1	1.000	transfer	machine
G2532	καί	aborreceste	1	1.000	transfer	machine
G3404	μισέω	aborreceu	3	1.000	transfer	machine
G3404	μισέω	aborreci	1	1.000	transfer	machine
G3404	μισέω	aborreciam-n’o	1	1.000	transfer	machine
G3404	μισέω	aborrecidos	2	1.000	transfer	machine
G3732	ὄρνεον	aborrecivel	1	1.000	transfer	machine
G3404	μισέω	aborreço	2	1.000	transfer	machine
G2504	κἀγώ	abortivo	1	1.000	transfer	machine
G0455	ἀνοίγω	abra	1	1.000	transfer	machine
G0011	Ἀβραάμ	abrahão	63	0.940	transfer	machine
G1453	ἐγείρω	abrahão	1	0.015	transfer	machine
G2291	Θάρα	abrahão	1	0.015	transfer	machine
G1860	ἐπαγγελία	abrahão	1	0.015	transfer	machine
G3588	ὁ	abrahão	1	0.015	transfer	machine
G2739	καυματίζω	abrazados	1	1.000	transfer	machine
G4448	πυρόω	abrazar-se	1	1.000	transfer	machine
G2739	καυματίζω	abrazasse	1	1.000	transfer	machine
G0782	ἀσπάζομαι	abraçando-as	1	1.000	transfer	machine
G4843	συνπεριλαμβάνω	abraçando-o	1	1.000	transfer	machine
G2902	κρατέω	abraçaram	1	1.000	transfer	machine
G1209	δέχομαι	abraçastes	1	1.000	transfer	machine
G0455	ἀνοίγω	abre	4	1.000	transfer	machine
G0455	ἀνοίγω	abre-nos	2	1.000	transfer	machine
G1272	διανοίγω	abre-te	1	1.000	transfer	machine
G1125	γράφω	abreviadamente	1	1.000	transfer	machine
G2856	κολοβόω	abreviados	2	1.000	transfer	machine
G4932	συντέμνω	abreviará	1	1.000	transfer	machine
G2856	κολοβόω	abreviasse	1	1.000	transfer	machine
G1272	διανοίγω	abria	1	1.000	transfer	machine
G0455	ἀνοίγω	abrimos	1	1.000	transfer	machine
G0455	ἀνοίγω	abrindo	4	1.000	transfer	machine
G0455	ἀνοίγω	abrir	7	0.778	transfer	machine
G4493	ῥιπή	abrir	1	0.111	transfer	machine
G0457	ἄνοιξις	abrir	1	0.111	transfer	machine
G0455	ἀνοίγω	abriram	5	1.000	transfer	machine
G0455	ἀνοίγω	abriram-se	1	0.500	transfer	machine
G0975	βιβλίον	abriram-se	1	0.500	transfer	machine
G0455	ἀνοίγω	abrirei	1	1.000	transfer	machine
G0455	ἀνοίγω	abrires	1	1.000	transfer	machine
G3788	ὀφθαλμός	abrisse	1	0.500	transfer	machine
G0455	ἀνοίγω	abrisse	1	0.500	transfer	machine
G0455	ἀνοίγω	abriu	13	0.812	transfer	machine
G4750	στόμα	abriu	1	0.062	transfer	machine
G2374	θύρα	abriu	1	0.062	transfer	machine
G1272	διανοίγω	abriu	1	0.062	transfer	machine
G0846	αὐτός	abriu-lhes	1	1.000	transfer	machine
G0455	ἀνοίγω	abriu-se	2	0.667	transfer	machine
G3588	ὁ	abriu-se	1	0.333	transfer	machine
G3303	μέν	abroga-se	1	1.000	transfer	machine
G5146	τρίβολος	abrolhos	2	0.667	transfer	machine
G0942	βάτος	abrolhos	1	0.333	transfer	machine
G3843	πάντως	absolutamente	1	1.000	transfer	machine
G2666	καταπίνω	absorvido	1	1.000	transfer	machine
G1467	ἐγκρατεύομαι	abstem	1	1.000	transfer	machine
G0567	ἀπέχω	abstende-vos	1	1.000	transfer	machine
G0567	ἀπέχω	abstenhaes	3	1.000	transfer	machine
G0567	ἀπέχω	abstenham	2	1.000	transfer	machine
G0894	ἄψινθος	absyntho	1	1.000	transfer	machine
G4052	περισσεύω	abunda	2	0.500	transfer	machine
G4119	πλείων	abunda	1	0.250	transfer	machine
G4121	πλεονάζω	abunda	1	0.250	transfer	machine
G4052	περισσεύω	abundaes	1	1.000	transfer	machine
G4052	περισσεύω	abundam	1	1.000	transfer	machine
G1519	εἰς	abundamos	1	1.000	transfer	machine
G4052	περισσεύω	abundancia	5	0.357	transfer	machine
G4051	περίσσευμα	abundancia	3	0.214	transfer	machine
G4050	περισσεία	abundancia	2	0.143	transfer	machine
G2129	εὐλογία	abundancia	2	0.143	transfer	machine
G4053	περισσός	abundancia	1	0.071	transfer	machine
G0100	ἁδρότης	abundancia	1	0.071	transfer	machine
G4052	περισσεύω	abundando	1	1.000	transfer	machine
G4146	πλουσίως	abundantemente	2	0.667	transfer	machine
G1909	ἐπί	abundantemente	1	0.333	transfer	machine
G0277	ἀμετακίνητος	abundantes	1	0.500	transfer	machine
G5235	ὑπερβάλλω	abundantes	1	0.500	transfer	machine
G1519	εἰς	abundar	1	0.500	transfer	machine
G4052	περισσεύω	abundar	1	0.500	transfer	machine
G4052	περισσεύω	abunde	2	0.500	transfer	machine
G3588	ὁ	abunde	1	0.250	transfer	machine
G4121	πλεονάζω	abunde	1	0.250	transfer	machine
G4052	περισσεύω	abundeis	3	1.000	transfer	machine
G5582	ψεῦσμα	abundou	1	0.333	transfer	machine
G4121	πλεονάζω	abundou	1	0.333	transfer	machine
G4052	περισσεύω	abundou	1	0.333	transfer	machine
G1519	εἰς	abusar	1	1.000	transfer	machine
G2710	καταχράομαι	abusassem	1	1.000	transfer	machine
G0009	Ἀβειληνή	abylinia	1	1.000	transfer	machine
G0012	ἄβυσσος	abysmo	9	0.900	transfer	machine
G1037	βυθός	abysmo	1	0.100	transfer	machine
G1096	γίνομαι	acabada	1	1.000	transfer	machine
G5055	τελέω	acabadas	1	0.500	transfer	machine
G1096	γίνομαι	acabadas	1	0.500	transfer	machine
G4931	συντελέω	acabando	1	1.000	transfer	machine
G5507	χίλιοι	acabando-se	1	1.000	transfer	machine
G1615	ἐκτελέω	acabar	1	1.000	transfer	machine
G5055	τελέω	acabaram	1	1.000	transfer	machine
G5055	τελέω	acabareis	1	1.000	transfer	machine
G5055	τελέω	acabarem	1	1.000	transfer	machine
G1587	ἐκλείπω	acabarão	1	1.000	transfer	machine
G0435	ἀνήρ	acabei	1	1.000	transfer	machine
G3973	παύω	acabou	2	1.000	transfer	machine
G2869	κοπάζω	acalmou	1	1.000	transfer	machine
G4337	προσέχω	acautelae-vos	5	0.714	transfer	machine
G0991	βλέπω	acautelae-vos	1	0.143	transfer	machine
G3708	ὁράω	acautelae-vos	1	0.143	transfer	machine
G2983	λαμβάνω	acceita	1	1.000	transfer	machine
G2983	λαμβάνω	acceitaes	2	1.000	transfer	machine
G4327	προσδέχομαι	acceitando	1	1.000	transfer	machine
G2983	λαμβάνω	acceitareis	1	1.000	transfer	machine
G2962	κύριος	acceitavel	1	0.333	transfer	machine
G1184	δεκτός	acceitavel	1	0.333	transfer	machine
G2144	εὐπρόσδεκτος	acceitavel	1	0.333	transfer	machine
G3956	πᾶς	acceitação	1	1.000	transfer	machine
G2144	εὐπρόσδεκτος	acceite	1	1.000	transfer	machine
G4245	πρεσβύτερος	acceites	1	1.000	transfer	machine
G3588	ὁ	acceito	1	1.000	transfer	machine
G2983	λαμβάνω	acceitou	1	0.500	transfer	machine
G3303	μέν	acceitou	1	0.500	transfer	machine
G2545	καίω	accende	1	0.500	transfer	machine
G0681	ἅπτω	accende	1	0.500	transfer	machine
G4382	προσωπολημψία	accepção	2	0.333	transfer	machine
G4381	προσωπολήμπτης	accepção	1	0.167	transfer	machine
G2076	εἰμί	accepção	1	0.167	transfer	machine
G4380	προσωπολημπτέω	accepção	1	0.167	transfer	machine
G0678	ἀπροσωπολήμπτως	accepção	1	0.167	transfer	machine
G3088	λύχνος	accesas	1	1.000	transfer	machine
G0381	ἀνάπτω	acceso	1	1.000	transfer	machine
G4318	προσαγωγή	accesso	1	1.000	transfer	machine
G2186	ἐφίστημι	accommettendo	1	1.000	transfer	machine
